handle,name,posts,first_seen,last_seen,links_ratio,median_gap_min,digits_suffix_len,has_long_digits,burst10_max_posts,domain_variety,reply_bot_score_mean,score_proxy,reasons,is_suspect
jaeg1970,Juan Antonio,1,2025-10-14 18:32:53+00:00,2025-10-14 18:32:53+00:00,0.0,0.0,4,False,0,0,0.2,1.5,zero_median_gap,False
jfsj1964,Jafasa,1,2025-10-19 07:28:46+00:00,2025-10-19 07:28:46+00:00,0.0,0.0,4,False,0,0,0.2,1.5,zero_median_gap,False
jav646,javi javis,1,2025-10-17 05:53:38+00:00,2025-10-17 05:53:38+00:00,0.0,0.0,3,False,0,0,0.2,1.5,zero_median_gap,False
maraojiplatica,LaMara,1,2025-10-17 07:24:06+00:00,2025-10-17 07:24:06+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
lolaandaluza,Lola Andaluza,1,2025-10-19 05:11:09+00:00,2025-10-19 05:11:09+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
lydiapanter,Lydia Martín,1,2025-10-14 18:09:16+00:00,2025-10-14 18:09:16+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
maiteluna73,MARIA TERESA LUNA,1,2025-10-14 20:49:36+00:00,2025-10-14 20:49:36+00:00,0.0,0.0,2,False,0,0,0.2,1.5,zero_median_gap,False
marccbg,Marc_itos,1,2025-10-17 14:47:51+00:00,2025-10-17 14:47:51+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
juanjodemocrata,Juanjo Demócrata,1,2025-10-19 11:13:26+00:00,2025-10-19 11:13:26+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
k2maskedos,+k2,1,2025-10-18 16:51:08+00:00,2025-10-18 16:51:08+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
laranarene7933,Sergio,1,2025-10-19 02:52:16+00:00,2025-10-19 02:52:16+00:00,0.0,0.0,4,False,0,0,0.2,1.5,zero_median_gap,False
urkyland,urky,1,2025-10-19 21:53:41+00:00,2025-10-19 21:53:41+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
verew13,Vere W,1,2025-10-19 22:23:46+00:00,2025-10-19 22:23:46+00:00,0.0,0.0,2,False,0,0,0.2,1.5,zero_median_gap,False
tthoro_veloz,la jara los cago con retiros y despues los robo lo,1,2025-10-14 17:05:53+00:00,2025-10-14 17:05:53+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
tadeoeus,TadeoEus,1,2025-10-18 19:11:02+00:00,2025-10-18 19:11:02+00:00,0.0,0.0,0,False,0,0,0.0,1.5,zero_median_gap,False
